# Glyph list created by Arkady Benediktov
# Some extra glyph names that were encountered
# ============================================== Ligatures from PTSerifPro
f_f;FB00
b.a;0042
c.a;0043
d.a;0044
e.a;0045
f.a;0046
g.a;0047
h.a;0048
i.a;0049
j.a;004A
k.a;004B
l.a;004C
m.a;004D
n.a;004E
o.a;004F
p.a;0050
q.a;0051
r.a;0052
s.a;0053
t.a;0054
u.a;0055
v.a;0056
w.a;0057
x.a;0058
y.a;0059
z.a;005A
# ============================================== Extended cyrillic
cyrObar;04e8
cyrobar;04e9
cyrGebar;0492
cyrgebar;0493
cyrKadesc;049a
cyrkadesc;049b
cyreNdesc;04a2
cyrendesc;04a3
# ============================================== Cyrillic Kazakh
cyrinvE;018f
cyrinve;0259
cyrstraightU;04AE
cyrstraightu;04AF
# ============================================== Mathematica fonts
CapGamma;0393
Slash1;002f
LParen1;0028
RParen1;0029
VertBar1;007c
# ============================================== wncyr fonts
#Ishort;0419
#soft;044c
#ishort;0439
#Yu;042e
#yu;044e
#zhe;0436
#hard;044a
#Zhe;0416
#yo;0451
#number;2116
#ze;044d
#Ze;042d
#ya;044f
#Ya;042f
# ============================================== Glyph names used by TeX fonts
AE;00C6
Complex;2102
Delta;2206
Gamma;0393
Ifractur;2111
Lambda;039B
Natural;2115
OE;0152
Omega;2126
Oslash;00D8
Phi;03A6
Pi;03A0
Psi;03A8
Real;211D
Rfractur;211C
Sigma;03A3
Theta;0398
Upsilon;03A5
Xi;039E
Zinteger;2124
acute;00B4
ae;00E6
aleph;2135
alpha;03B1
angbracketleft;27E8
angbracketleftBig;27E8
angbracketleftBigg;27E8
angbracketleftbig;27E8
angbracketleftbigg;27E8
angbracketright;27E9
angbracketrightBig;27E9
angbracketrightBigg;27E9
angbracketrightbig;27E9
angbracketrightbigg;27E9
angleleftbig;2329
angleleftbig1;2329
angleleftbig2;2329
angleleftbig3;2329
angleleftbig4;2329
angleleftbig5;2329
angleleftbig6;2329
angleleftbig7;2329
angleleftbig8;2329
angleleftbig9;2329
anglerightbig;232A
anglerightbig1;232A
anglerightbig2;232A
anglerightbig3;232A
anglerightbig4;232A
anglerightbig5;232A
anglerightbig6;232A
anglerightbig7;232A
anglerightbig8;232A
anglerightbig9;232A
approxequal;2248
#arrowboth;21C6
arrowboth;2194
arrowbothv;2195
arrowbt;2193
arrowdblboth;21D4
arrowdblbothv;21D5
arrowdblbt;21D3
arrowdbldown;21D3
arrowdblleft;21D0
arrowdblright;21D2
arrowdbltp;21D1
arrowdblup;21D1
arrowdown;2193
arrowhookleft;02D3
arrowhookright;02D2
arrowleft;2190
arrowleftbothalf;21BD
arrowlefttophalf;21BC
arrownortheast;2197
arrownorthwest;2196
arrowright;2192
arrowrightbothalf;21C1
arrowrighttophalf;21C0
arrowsoutheast;2198
arrowsouthwest;2199
arrowtp;2191
arrowup;2191
arrowvertex;006C
arrowvertexdbl;2225
asteriskmath;2217
asymptequal;2243
backslash;005C
backslashBig;005C
backslashBigg;005C
backslashbig;005C
backslashbigg;005C
bar;007C
barex;007C
bardbl;2225
beta;03B2
braceex;007C
bracehtipdownleft;25DC
bracehtipdownright;25DD
bracehtipupleft;25DF
bracehtipupright;25DE
braceleft;007B
braceleftBig;007B
braceleftBigg;007B
braceleftbig;007B
braceleftbig1;007B
braceleftbig2;007B
braceleftbig3;007B
braceleftbig4;007B
braceleftbig5;007B
braceleftbig6;007B
braceleftbig7;007B
braceleftbig8;007B
braceleftbig9;007B
braceleftbigg;007B
braceleftbt;23A9
braceleftmid;23A8
bracelefttp;23A7
braceright;007D
bracerightBig;007D
bracerightBigg;007D
bracerightbig;007D
bracerightbig1;007D
bracerightbig2;007D
bracerightbig3;007D
bracerightbig4;007D
bracerightbig5;007D
bracerightbig6;007D
bracerightbig7;007D
bracerightbig8;007D
bracerightbig9;007D
bracerightbigg;007D
bracerightbt;23AD
bracerightmid;23AC
bracerighttp;23AB
bracketleftBig;005B
bracketleftBigg;005B
bracketleftbig;005B
bracketleftbig1;005B
bracketleftbig2;005B
bracketleftbig3;005B
bracketleftbig4;005B
bracketleftbig5;005B
bracketleftbig6;005B
bracketleftbig7;005B
bracketleftbig8;005B
bracketleftbig9;005B
bracketleftbigg;005B
bracketleftbt;230A
bracketleftex;007C
bracketlefttp;2308
bracketrightBig;005D
bracketrightBigg;005D
bracketrightbig;005D
bracketrightbig1;005D
bracketrightbig2;005D
bracketrightbig3;005D
bracketrightbig4;005D
bracketrightbig5;005D
bracketrightbig6;005D
bracketrightbig7;005D
bracketrightbig8;005D
bracketrightbig9;005D
bracketrightbigg;005D
bracketrightbt;230B
bracketrightex;007C
bracketrighttp;2309
breve;02D8
bullet;2022
Bullet;25CF
caron;02C7
cedilla;00B8
ceilingleft;2308
ceilingleftBig;2308
ceilingleftBigg;2308
ceilingleftbig;2308
ceilingleftbigg;2308
ceilingright;2309
ceilingrightBig;2309
ceilingrightBigg;2309
ceilingrightbig;2309
ceilingrightbigg;2309
chi;03C7
Circle;25CB
circlecopyrt;20DD
circledivide;2298
circledot;2299
circledotdisplay;2299
circledottext;2299
circleminus;2296
circlemultiply;2297
circlemultiplydisplay;2297
circlemultiplytext;2297
circleplus;2295
circleplusdisplay;2295
circleplustext;2295
circumflex;02C6
circumflexnosp4char;0302
club;2663
comma;002C
contintegraldisplay;222E
contintegraltext;222E
coproduct;2210
coproductdisplay;2210
coproducttext;2210
dagger;2020
daggerdbl;2021
delta;03B4
#diamond;2666
diamond;25C7
#diamondmath;22C4
diamondmath;25C7
diamondsolid;25C6
dieresis;00A8
divide;00F7
dotaccent;02D9
dotlessi;0131
dotlessj;0237
downslope;005C
eightoldstyle;0038
element;2208
emdash;2014
emptyset;2205
endash;2013
epsilon1;1D716
#epsilon1;03B5
epsilon;03B5
equivalence;2261
equivasymptotic;224D
eta;03B7
exclamdown;00A1
existential;2203
ff;FB00
ffi;FB03
ffl;FB04
fi;FB01
fiveoldstyle;0035
fl;FB02
flat;266D
floorleft;230A
floorleftBig;230A
floorleftBigg;230A
floorleftbig;230A
floorleftbigg;230A
floorleftbig1;230A
floorleftbig3;230A
floorright;230B
floorrightBig;230B
floorrightBigg;230B
floorrightbig;230B
floorrightbigg;230B
floorrightbig1;230B
floorrightbig3;230B
follows;227B
followsequal;227D
fouroldstyle;0034
gamma;03B3
germandbls;00DF
grave;0060
greaterequal;2265
greaterorequalslant;2A7E
greatermuch;226B
harpoonleftright;21cc
harpoonrightleft;21cb
hatwide;005E
hatwide1;005E
hatwide2;005E
hatwide3;005E
hatwide4;005E
hatwide5;005E
hatwide6;005E
hatwide7;005E
hatwide8;005E
hatwide9;005E
hatwide10;005E
hatwide11;005E
hatwide12;005E
hatwide13;005E
hatwider;005E
hatwidest;005E
heart;2665
hungarumlaut;02DD
infinity;221E
integerdivide;005C
integral;222B
integralloop;222E
integraldisplay;222B
integraldisplay1;222B
integraldisplay2;222B
integraldisplay3;222B
integraldisplay4;222B
integraldisplay5;222B
integraldisplay6;222B
integraldisplay7;222B
integraldisplay8;222B
integraldisplay9;222B
integraltext;222B
intersection;2229
intersectiondisplay;22C2
intersectionsq;2293
intersectiontext;22C2
iota;03B9
kappa;03BA
lambda;03BB
latticetop;22A4
lessequal;2264
lessorequalslant;2A7D
lessmuch;226A
logicaland;2227
logicalanddisplay;2227
logicalandtext;2227
logicalnot;00AC
logicalor;2228
logicalordisplay;2228
logicalortext;2228
lscript;2113
macron;00AF
#mapsto;2E20 --- wrong as this code is a punctuation symbol
mapsto;22A6
minus;2212
Minus;2212
minusplus;2213
mu;00B5
multiply;00D7
nabla;2207
